close,high,ignore,low,open,close_time,number_of_trades,open_time,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,volume
42904.23000000,42916.62000000,0,42904.22000000,42906.39000000,1707043979999,449,1707043920000,480219.84996220,4.11546000,176604.28753050,11.19041000,
42923.33000000,42923.34000000,0,42904.22000000,42904.22000000,1707044039999,328,1707043980000,259990.29920530,5.06752000,217456.67992960,6.05862000,
42928.62000000,42928.62000000,0,42923.33000000,42923.34000000,1707044099999,251,1707044040000,144389.06291300,2.19160000,94074.35996350,3.36375000,
42937.19000000,42937.20000000,0,42928.61000000,42928.62000000,1707044159999,261,1707044100000,172290.22488040,2.78819000,119702.38554870,4.01312000,
42941.10000000,42941.10000000,0,42937.19000000,42937.19000000,1707044219999,259,1707044160000,135717.49408960,2.46426000,105813.62104250,3.16067000,
42944.00000000,42944.00000000,0,42941.09000000,42941.09000000,1707044279999,223,1707044220000,106378.35846460,0.47325000,20323.01165650,2.47715000,
42944.00000000,42944.00000000,0,42943.99000000,42944.00000000,1707044339999,188,1707044280000,171140.85145770,3.30698000,142014.94912000,3.98521000,
42944.00000000,42944.00000000,0,42943.99000000,42943.99000000,1707044399999,196,1707044340000,60444.96292210,0.86774000,37264.22656000,1.40753000,
42946.46000000,42950.00000000,0,42943.99000000,42944.00000000,1707044459999,760,1707044400000,742556.32253480,11.99114000,514955.83054300,17.29056000,
42931.32000000,42946.47000000,0,42931.32000000,42946.46000000,1707044519999,501,1707044460000,608619.33812590,0.93358000,40084.87978320,14.17403000,
42941.80000000,42943.19000000,0,42931.32000000,42931.32000000,1707044579999,347,1707044520000,386343.58779610,5.28386000,226865.58296390,8.99765000,
42945.82000000,42945.83000000,0,42941.79000000,42941.80000000,1707044639999,234,1707044580000,241479.71191750,4.61868000,198341.38548960,5.62321000,
42949.88000000,42949.89000000,0,42945.82000000,42945.83000000,1707044699999,282,1707044640000,203867.25703320,3.76560000,161719.51059020,4.74696000,
42964.45000000,42968.84000000,0,42949.88000000,42949.89000000,1707044759999,572,1707044700000,492209.01745980,7.94451000,341266.17072210,11.45769000,
42964.44000000,42964.45000000,0,42961.48000000,42964.44000000,1707044819999,662,1707044760000,445387.89770520,4.13808000,177778.91470280,10.36687000,
42963.52000000,42969.92000000,0,42963.52000000,42964.43000000,1707044879999,395,1707044820000,540380.08118980,5.84044000,250938.60313960,12.57687000,
42983.00000000,42983.00000000,0,42963.52000000,42963.52000000,1707044939999,498,1707044880000,613432.83714970,11.82160000,507999.64012490,14.27532000,
42971.11000000,42997.08000000,0,42971.10000000,42982.99000000,1707044999999,2393,1707044940000,916335.34783730,9.19632000,395360.07946520,21.31607000,
42979.90000000,42979.91000000,0,42971.10000000,42971.11000000,1707045059999,359,1707045000000,516529.32010360,5.85841000,251749.31163970,12.01983000,
42982.15000000,42982.16000000,0,42979.90000000,42979.91000000,1707045119999,286,1707045060000,237330.61390780,2.56935000,110432.75995800,5.52182000,
42996.66000000,42996.66000000,0,42982.15000000,42982.16000000,1707045179999,309,1707045120000,146264.97757750,2.75124000,118271.42222780,3.40243000,
42997.08000000,42997.08000000,0,42996.65000000,42996.66000000,1707045239999,198,1707045180000,85858.69593270,1.01292000,43552.59636680,1.99685000,
42999.99000000,43000.00000000,0,42997.07000000,42997.08000000,1707045299999,519,1707045240000,401151.42118030,5.71238000,245625.66599760,9.32948000,
43024.99000000,43033.29000000,0,42999.99000000,43000.00000000,1707045359999,1619,1707045300000,1167028.08081350,20.14552000,866529.31302590,27.12896000,
43000.08000000,43025.00000000,0,42995.99000000,43024.99000000,1707045419999,917,1707045360000,1141612.40610810,14.29390000,614639.69539480,26.54725000,
43000.08000000,43000.08000000,0,43000.07000000,43000.08000000,1707045479999,430,1707045420000,136357.53322130,1.12443000,48350.57995440,3.17110000,
42996.46000000,43000.08000000,0,42996.46000000,43000.07000000,1707045539999,456,1707045480000,164286.06798490,1.01201000,43514.00995280,3.82072000,
42996.46000000,42996.47000000,0,42996.46000000,42996.47000000,1707045599999,178,1707045540000,48016.30023510,0.35301000,15178.18387470,1.11675000,
43007.86000000,43007.87000000,0,42988.56000000,42996.46000000,1707045659999,670,1707045600000,706312.08470790,8.93513000,384150.39309790,16.42791000,
43000.13000000,43021.10000000,0,43000.12000000,43007.86000000,1707045719999,1205,1707045660000,639116.49327880,3.38160000,145438.25986450,14.85965000,
43010.89000000,43015.47000000,0,43000.12000000,43000.12000000,1707045779999,835,1707045720000,444675.12593510,7.39998000,318250.02266470,10.33938000,
43017.99000000,43018.00000000,0,43010.89000000,43010.89000000,1707045839999,369,1707045780000,613038.13802380,9.10335000,391566.16266910,14.25220000,
43030.00000000,43030.00000000,0,43017.99000000,43018.00000000,1707045899999,312,1707045840000,134078.58222320,2.09055000,89943.53785410,3.11629000,
43026.47000000,43045.00000000,0,43026.47000000,43030.00000000,1707045959999,904,1707045900000,594969.64784160,7.18717000,309309.10621910,13.82463000,
43029.10000000,43029.11000000,0,43019.27000000,43026.48000000,1707046019999,452,1707045960000,527723.83149840,5.80913000,249918.69728190,12.26602000,
43040.73000000,43040.74000000,0,43029.10000000,43029.10000000,1707046079999,328,1707046020000,285405.31143100,4.71018000,202715.98822110,6.63148000,
43040.72000000,43040.73000000,0,43040.72000000,43040.73000000,1707046139999,310,1707046080000,579654.43711630,9.72587000,418608.54468510,13.46758000,
43037.27000000,43040.73000000,0,43033.43000000,43040.73000000,1707046199999,427,1707046140000,396505.50405010,5.57261000,239814.26093660,9.21325000,
43030.67000000,43037.28000000,0,43027.19000000,43037.27000000,1707046259999,462,1707046200000,378829.88517160,4.77785000,205581.35855080,8.80383000,
43035.10000000,43035.11000000,0,43030.67000000,43030.67000000,1707046319999,301,1707046260000,267770.76751030,5.53341000,238121.05852540,6.22241000,
43037.28000000,43037.28000000,0,43035.10000000,43035.10000000,1707046379999,274,1707046320000,387165.10641690,6.67725000,287356.81716380,8.99639000,
43037.28000000,43037.28000000,0,43037.27000000,43037.27000000,1707046439999,235,1707046380000,95315.07592670,0.36850000,15859.23768000,2.21471000,
43035.12000000,43040.05000000,0,43035.11000000,43037.27000000,1707046499999,1440,1707046440000,442945.12005670,4.59659000,197832.96978980,10.29176000,
43035.31000000,43035.32000000,0,43035.11000000,43035.11000000,1707046559999,987,1707046500000,477029.10602800,8.60169000,370175.90784480,11.08461000,
43052.92000000,43052.92000000,0,43035.31000000,43035.32000000,1707046619999,665,1707046560000,351717.44073060,6.73720000,289989.41291580,8.17116000,
43060.60000000,43060.60000000,0,43050.01000000,43052.92000000,1707046679999,854,1707046620000,368594.24987480,5.22237000,224845.63119910,8.56122000,
43061.81000000,43061.82000000,0,43050.59000000,43060.60000000,1707046739999,944,1707046680000,469481.14869110,5.88542000,253410.06041870,10.90374000,
43085.02000000,43085.03000000,0,43061.81000000,43061.82000000,1707046799999,1056,1707046740000,715757.78190640,13.14845000,566424.55180300,16.61475000,
43104.00000000,43119.04000000,0,43076.11000000,43085.02000000,1707046859999,2370,1707046800000,3180002.93247950,38.91286000,1676869.63854300,73.79126000,
43110.00000000,43110.01000000,0,43098.00000000,43104.00000000,1707046919999,1054,1707046860000,1598628.01495230,28.87418000,1244459.54535840,37.09128000,
43097.04000000,43110.01000000,0,43097.03000000,43110.00000000,1707046979999,518,1707046920000,512638.88922160,4.73468000,204100.81180040,11.89238000,
43081.90000000,43100.14000000,0,43077.64000000,43097.04000000,1707047039999,614,1707046980000,1122716.13977480,12.46317000,537070.22642290,26.05359000,
43075.63000000,43082.31000000,0,43075.63000000,43081.90000000,1707047099999,519,1707047040000,463799.13009060,4.84129000,208572.21630860,10.76563000,
43037.98000000,43075.64000000,0,43032.00000000,43075.64000000,1707047159999,696,1707047100000,995299.52157560,7.18933000,309466.87498410,23.11994000,
43048.88000000,43048.88000000,0,43026.41000000,43037.99000000,1707047219999,766,1707047160000,1601706.32001980,14.19561000,610924.65709360,37.21790000,
43047.07000000,43050.95000000,0,43047.06000000,43048.87000000,1707047279999,382,1707047220000,673484.96740360,3.77683000,162583.78177470,15.64432000,
43036.31000000,43049.02000000,0,43036.31000000,43047.07000000,1707047339999,456,1707047280000,887566.87427680,5.82653000,250818.10289520,20.62013000,
43049.99000000,43050.00000000,0,43036.31000000,43036.32000000,1707047399999,2097,1707047340000,506006.48881600,10.21005000,439445.16863260,11.75653000,
43050.00000000,43050.00000000,0,43049.99000000,43050.00000000,1707047459999,276,1707047400000,99737.79748830,1.11562000,48027.44100000,2.31679000,
43071.09000000,43071.10000000,0,43049.99000000,43049.99000000,1707047519999,613,1707047460000,277041.14938040,5.65687000,243567.06334520,6.43413000,
43057.91000000,43071.10000000,0,43056.60000000,43071.10000000,1707047579999,495,1707047520000,478024.59335130,3.58203000,154236.81768880,11.10053000,
43041.89000000,43057.91000000,0,43037.94000000,43057.91000000,1707047639999,1141,1707047580000,554020.63269460,8.47568000,364789.93298920,12.87124000,
43027.00000000,43041.90000000,0,43026.99000000,43041.89000000,1707047699999,368,1707047640000,223387.67615370,0.56838000,24458.27908630,5.19062000,
43043.54000000,43043.54000000,0,43026.99000000,43027.00000000,1707047759999,1605,1707047700000,424159.55042720,8.77789000,377747.26573990,9.85624000,
43043.47000000,43044.68000000,0,43043.46000000,43043.54000000,1707047819999,393,1707047760000,166213.13608790,1.79404000,77222.93252640,3.86146000,
43058.54000000,43058.54000000,0,43042.31000000,43043.47000000,1707047879999,1260,1707047820000,366361.34993250,6.33044000,272503.28230110,8.51085000,
43060.06000000,43060.07000000,0,43058.53000000,43058.53000000,1707047939999,269,1707047880000,382480.07031730,7.65974000,329819.34006400,8.88272000,
43060.10000000,43060.26000000,0,43049.51000000,43060.06000000,1707047999999,669,1707047940000,551925.54425290,4.18437000,180158.18908620,12.81822000,
43071.99000000,43071.99000000,0,43060.09000000,43060.09000000,1707048059999,793,1707048000000,474426.18631320,6.60250000,284352.48587070,11.01577000,
43063.67000000,43078.86000000,0,43062.14000000,43071.99000000,1707048119999,799,1707048060000,1646040.89563500,5.40180000,232648.96468830,38.21468000,
43065.56000000,43065.58000000,0,43063.66000000,43063.67000000,1707048179999,504,1707048120000,279424.15331930,4.38858000,188989.25957140,6.48859000,
43053.10000000,43073.99000000,0,43052.00000000,43065.56000000,1707048239999,743,1707048180000,1108730.85347930,15.74471000,677987.94311960,25.74660000,
43069.55000000,43069.55000000,0,43053.09000000,43053.09000000,1707048299999,475,1707048240000,487888.41939270,10.43123000,449187.23015760,11.32992000,
43069.54000000,43075.31000000,0,43069.54000000,43069.54000000,1707048359999,472,1707048300000,456145.83816130,3.48752000,150217.51942020,10.58980000,
43069.54000000,43069.55000000,0,43069.54000000,43069.55000000,1707048419999,199,1707048360000,87236.07090190,0.97181000,41855.41938550,2.02547000,
43076.00000000,43076.00000000,0,43069.54000000,43069.55000000,1707048479999,385,1707048420000,408120.48623870,5.26341000,226700.59435580,9.47514000,
43078.35000000,43078.35000000,0,43075.99000000,43075.99000000,1707048539999,307,1707048480000,98882.40018350,1.47792000,63664.15521660,2.29548000,
43084.60000000,43084.61000000,0,43071.65000000,43078.35000000,1707048599999,665,1707048540000,867039.93662400,7.35027000,316635.74069750,20.12701000,
43090.00000000,43090.00000000,0,43084.60000000,43084.60000000,1707048659999,324,1707048600000,201036.72655250,2.94508000,126894.63728770,4.66590000,
43086.02000000,43102.00000000,0,43086.01000000,43089.99000000,1707048719999,638,1707048660000,452912.82311210,4.26261000,183701.13768630,10.50934000,
43077.36000000,43086.02000000,0,43052.94000000,43086.01000000,1707048779999,652,1707048720000,2904102.34375380,13.06299000,562697.61264140,67.42612000,
43073.89000000,43077.36000000,0,43073.89000000,43077.35000000,1707048839999,358,1707048780000,188368.10736690,0.88359000,38060.25754500,4.37301000,
43073.89000000,43073.90000000,0,43073.89000000,43073.89000000,1707048899999,238,1707048840000,114800.54294570,1.13177000,48749.74780300,2.66520000,
43058.74000000,43073.90000000,0,43043.21000000,43073.89000000,1707048959999,1328,1707048900000,970022.06961050,14.96972000,644447.28389760,22.53038000,
43048.54000000,43059.83000000,0,43043.22000000,43058.75000000,1707049019999,576,1707048960000,1529879.27511630,13.45196000,579063.34331400,35.53811000,
43061.54000000,43063.53000000,0,43048.53000000,43048.54000000,1707049079999,393,1707049020000,911322.73958250,9.34443000,402306.87234260,21.16548000,
43068.99000000,43069.00000000,0,43061.41000000,43061.53000000,1707049139999,353,1707049080000,370310.09793020,6.88551000,296517.72659840,8.59904000,
43068.99000000,43069.00000000,0,43068.99000000,43069.00000000,1707049199999,230,1707049140000,147870.50881090,2.26843000,97699.01167000,3.43334000,
43069.07000000,43069.08000000,0,43068.99000000,43068.99000000,1707049259999,198,1707049200000,150863.01770470,1.90612000,82094.72173270,3.50282000,
43069.44000000,43069.45000000,0,43069.07000000,43069.07000000,1707049319999,227,1707049260000,44220.58604540,0.63234000,27234.45026300,1.02673000,
43084.79000000,43084.80000000,0,43069.44000000,43069.45000000,1707049379999,371,1707049320000,302293.21882780,5.82834000,251068.96846010,7.01740000,
43084.80000000,43084.80000000,0,43084.79000000,43084.79000000,1707049439999,188,1707049380000,47659.97105990,0.72098000,31063.27910400,1.10619000,
43090.80000000,43090.80000000,0,43084.79000000,43084.79000000,1707049499999,280,1707049440000,383965.63165480,8.03713000,346308.69063010,8.91106000,
43088.28000000,43090.80000000,0,43071.10000000,43090.79000000,1707049559999,669,1707049500000,1229553.86188950,10.13212000,436493.97801040,28.53881000,
43088.28000000,43088.29000000,0,43088.28000000,43088.28000000,1707049619999,196,1707049560000,69935.73427260,0.87702000,37789.29209580,1.62308000,
43079.51000000,43088.29000000,0,43079.51000000,43088.28000000,1707049679999,320,1707049620000,245312.37401110,0.73055000,31475.40668880,5.69340000,
43079.52000000,43079.52000000,0,43079.51000000,43079.52000000,1707049739999,194,1707049680000,55968.90261400,0.32220000,13880.22134400,1.29920000,
43079.52000000,43079.52000000,0,43079.51000000,43079.52000000,1707049799999,187,1707049740000,33208.27311010,0.20315000,8751.60448800,0.77086000,
43084.31000000,43084.31000000,0,43079.51000000,43079.52000000,1707049859999,318,1707049800000,330943.37726980,4.47167000,192645.33697410,7.68192000,
43084.30000000,43084.31000000,0,43084.30000000,43084.30000000,1707049919999,213,1707049860000,111775.32847520,0.56132000,24184.08488920,2.59434000,
43084.31000000,43084.31000000,0,43084.30000000,43084.30000000,1707049979999,211,1707049920000,75916.27217740,1.22054000,52586.12372740,1.76204000,
43096.35000000,43096.35000000,0,43084.30000000,43084.31000000,1707050039999,384,1707049980000,711605.38837960,15.43034000,664870.43889320,16.51499000,
43089.80000000,43096.55000000,0,43089.79000000,43096.35000000,1707050099999,382,1707050040000,776517.70105690,11.49977000,495578.37766450,18.01889000,
43104.19000000,43104.19000000,0,43089.79000000,43089.80000000,1707050159999,354,1707050100000,518335.44462330,11.04408000,475974.54044540,12.02700000,
43111.90000000,43111.90000000,0,43104.18000000,43104.18000000,1707050219999,280,1707050160000,237510.42361670,4.67550000,201544.56719370,5.50987000,
43115.75000000,43115.76000000,0,43111.89000000,43111.90000000,1707050279999,259,1707050220000,214959.46137930,4.14117000,178537.68628210,4.98595000,
43108.01000000,43115.76000000,0,43108.00000000,43115.76000000,1707050339999,458,1707050280000,287807.79114780,0.48127000,20747.01176120,6.67565000,
43108.00000000,43108.01000000,0,43108.00000000,43108.01000000,1707050399999,332,1707050340000,64298.17105570,0.25757000,11103.33013570,1.49156000,
43092.01000000,43108.01000000,0,43092.00000000,43108.01000000,1707050459999,755,1707050400000,349566.71096770,0.44083000,19003.00316830,8.10993000,
43079.52000000,43092.01000000,0,43079.52000000,43092.01000000,1707050519999,1886,1707050460000,544237.41319080,4.27616000,184232.49913230,12.63194000,
43061.74000000,43079.53000000,0,43061.74000000,43079.53000000,1707050579999,509,1707050520000,446588.79880180,0.35510000,15292.25581740,10.36905000,
43048.43000000,43061.75000000,0,43048.42000000,43061.75000000,1707050639999,376,1707050580000,245187.17545710,0.26668000,11482.63474850,5.69486000,
43046.17000000,43048.43000000,0,43046.17000000,43048.43000000,1707050699999,273,1707050640000,151557.56364350,2.14245000,92224.49193370,3.52080000,
43050.12000000,43053.59000000,0,43046.17000000,43046.17000000,1707050759999,393,1707050700000,276396.30112930,3.46144000,149007.37680890,6.42030000,
43019.05000000,43050.12000000,0,43019.05000000,43050.12000000,1707050819999,628,1707050760000,315915.43806590,1.52491000,65606.72752860,7.34081000,
43012.99000000,43019.06000000,0,43004.92000000,43019.06000000,1707050879999,715,1707050820000,1072569.19002310,13.19430000,567459.67015380,24.93765000,
43026.45000000,43026.45000000,0,43012.98000000,43012.98000000,1707050939999,341,1707050880000,223868.28682920,3.57507000,153791.00697500,5.20381000,
43032.00000000,43032.00000000,0,43026.44000000,43026.45000000,1707050999999,689,1707050940000,135925.78960270,2.63729000,113477.19161540,3.15900000,
43041.23000000,43041.23000000,0,43031.99000000,43031.99000000,1707051059999,285,1707051000000,262239.03801920,3.74949000,161371.11275390,6.09304000,
43026.71000000,43041.23000000,0,43024.30000000,43041.23000000,1707051119999,575,1707051060000,571461.66668910,5.16698000,222311.40825670,13.27984000,
43012.98000000,43026.71000000,0,43012.98000000,43026.70000000,1707051179999,331,1707051120000,264986.97525480,0.31862000,13706.05533100,6.15927000,
43016.15000000,43016.15000000,0,43012.98000000,43012.98000000,1707051239999,302,1707051180000,189035.80326610,3.96770000,170664.65262410,4.39480000,
43015.66000000,43016.15000000,0,43004.01000000,43016.15000000,1707051299999,514,1707051240000,585029.58985610,5.18620000,223051.52567400,13.60184000,
